conn_type,Kind,bytes,RX MBps,TX MBps
DTLS_13,client,100,1.050,2.116
DTLS_13,client,1000,8.000,14.440
DTLS_13,client,2500,11.198,23.810
DTLS_13,client,5000,10.127,33.333
DTLS_13,client,10000,13.923,35.714
