conn_type,Kind,bytes,RX MBps,TX MBps
DTLS_13,server,100,3.960,4.348
DTLS_13,server,1000,21.739,23.256
DTLS_13,server,2500,31.746,32.258
DTLS_13,server,5000,38.462,37.523
DTLS_13,server,10000,39.409,43.337
