conn_type,Kind,bytes,RX MBps,TX MBps
TLS_13,server,100,3.810,2.381
TLS_13,server,1000,18.018,12.539
TLS_13,server,2500,32.680,20.534
TLS_13,server,5000,42.194,36.364
TLS_13,server,10000,41.797,39.761
