conn_type,Kind,bytes,RX MBps,TX MBps
TLS_13,client,100,0.075,2.273
TLS_13,client,1000,6.623,20.725
TLS_13,client,2500,11.148,25.641
TLS_13,client,5000,11.799,27.248
TLS_13,client,10000,11.628,34.542
TLS_13,server,100,4.301,1.674
TLS_13,server,1000,27.211,21.164
TLS_13,server,2500,36.630,29.412
TLS_13,server,5000,39.139,30.769
TLS_13,server,10000,39.409,38.314
