conn_type,num_conn,time_ms,resume_time_ms
TLS_13_RES,10,27.622,5.777
TLS_13_RES,100,27.620,5.932
TLS_13_RES,250,29.608,6.347
TLS_13_RES,500,29.349,6.501
TLS_13_RES,1000,27.740,5.852
