conn_type,Kind,bytes,RX MBps,TX MBps
TLS_13,client,100,0.231,2.963
TLS_13,client,1000,2.408,19.417
TLS_13,client,2500,9.930,25.907
TLS_13,client,5000,13.063,29.070
TLS_13,client,10000,13.962,27.416
TLS_13,server,100,6.780,2.649
TLS_13,server,1000,28.986,19.048
TLS_13,server,2500,36.630,26.247
TLS_13,server,5000,42.194,36.364
TLS_13,server,10000,42.373,40.942
